,Year,T_CelsiusMEX,T_FarenheitMEX,dT_Celsius_MEX,dT_Farenheit_MEX,CO2_M̩xico
1,1960,20.508975,68.916155,,,1.670990141
2,1961,20.491925,68.885465,-0.01705000000000112,-0.03069000000000699,1.675961329
3,1962,20.838025,69.508445,0.34609999999999985,0.6229799999999983,1.587485025
4,1963,20.683474999999998,69.230255,-0.1545500000000004,-0.27818999999999505,1.600528397
5,1964,20.353383333333333,68.63609,-0.33009166666666445,-0.5941650000000038,1.736658362
6,1965,20.508241666666667,68.91483500000001,0.15485833333333332,0.2787450000000149,1.705355151
7,1966,20.114183333333333,68.20553000000001,-0.3940583333333336,-0.7093050000000005,1.777925255
8,1967,20.413408333333333,68.744135,0.29922499999999985,0.5386049999999898,1.918848664
9,1968,20.04985,68.08973,-0.36355833333333365,-0.654404999999997,1.940637003
10,1969,20.691891666666667,69.245405,0.6420416666666675,1.1556750000000022,2.047987318
11,1970,20.28495,68.51291,-0.4069416666666683,-0.7324950000000001,2.215287211
12,1971,20.414716666666667,68.74649,0.12976666666666858,0.23357999999998924,2.380327514
13,1972,20.766883333333332,69.38039,0.3521666666666654,0.6339000000000112,2.422006072
14,1973,20.3597,68.64746,-0.40718333333333234,-0.7329300000000103,2.561821014
15,1974,20.40425,68.72765000000001,0.04455000000000098,0.08019000000001597,2.674078029
16,1975,20.228625,68.41152500000001,-0.17562500000000014,-0.31612499999999955,2.759233889
17,1976,19.869033333333334,67.76426000000001,-0.35959166666666675,-0.6472650000000044,3.006724694
18,1977,20.634633333333333,69.14234,0.7655999999999992,1.378079999999997,3.067406196
19,1978,20.443466666666666,68.79823999999999,-0.1911666666666676,-0.3441000000000116,3.45220081
20,1979,20.15449166666667,68.278085,-0.2889749999999971,-0.5201549999999884,3.642771221
21,1980,20.688933333333335,69.24008,0.534441666666666,0.9619950000000017,3.961751778
22,1981,20.54005,68.97209000000001,-0.14888333333333392,-0.2679899999999975,4.099403604
23,1982,20.811583333333335,69.46085,0.27153333333333407,0.488759999999985,4.289944895
24,1983,20.535825,68.964485,-0.27575833333333577,-0.4963649999999973,3.829532781
25,1984,20.404925000000002,68.72886500000001,-0.1308999999999969,-0.23561999999998307,3.73389481
26,1985,20.449616666666667,68.80931000000001,0.04469166666666524,0.08044499999999744,3.796893825
27,1986,20.717766666666666,69.29198,0.26814999999999856,0.4826699999999846,3.795908929
28,1987,20.312816666666667,68.56307000000001,-0.4049499999999995,-0.7289099999999848,3.880765463
29,1988,20.497858333333333,68.896145,0.18504166666666677,0.3330749999999938,3.800867772
30,1989,20.846275,69.52329499999999,0.34841666666666526,0.6271499999999861,4.393378554
31,1990,20.892766666666667,69.60698,0.04649166666666815,0.08368500000000267,3.793373018
32,1991,20.834483333333335,69.50207,-0.05828333333333191,-0.10490999999998962,3.881986429
33,1992,20.6302,69.13436,-0.20428333333333626,-0.3677100000000024,3.84378479
34,1993,20.91143333333333,69.64058,0.2812333333333328,0.506219999999999,3.830377124
35,1994,21.355733333333333,70.44032,0.4443000000000019,0.7997399999999999,3.912978646
36,1995,21.273358333333334,70.292045,-0.08237499999999898,-0.14827499999999816,3.630863982
37,1996,21.158183333333334,70.08473000000001,-0.1151750000000007,-0.20731499999999414,3.719042582
38,1997,20.881899999999998,69.58742,-0.27628333333333543,-0.497310000000013,3.908311625
39,1998,21.382775,70.48899499999999,0.5008750000000006,0.901574999999994,4.050613546
40,1999,20.983183333333333,69.76973000000001,-0.3995916666666659,-0.7192649999999787,4.016948975
41,2000,21.202516666666664,70.16453,0.21933333333333138,0.3947999999999894,4.028144635
42,2001,20.930641666666666,69.675155,-0.27187499999999787,-0.48937499999999545,4.117498953
43,2002,21.129508333333334,70.03311500000001,0.1988666666666674,0.3579600000000056,4.075235494
44,2003,21.23239166666667,70.218305,0.10288333333333455,0.18518999999999153,4.270511506
45,2004,20.946258333333333,69.703265,-0.28613333333333557,-0.515039999999999,4.2224472
46,2005,21.293733333333332,70.32872,0.3474749999999993,0.6254550000000023,4.399422979
47,2006,21.432391666666664,70.578305,0.138658333333332,0.24958499999999617,4.455657766
48,2007,21.064075,69.915335,-0.36831666666666507,-0.6629700000000014,4.401555404
49,2008,21.026016666666667,69.84683000000001,-0.03805833333333197,-0.0685049999999876,4.451117906
50,2009,21.525166666666667,70.7453,0.4991500000000002,0.898469999999989,4.232033444
51,2010,20.760716666666667,69.36929,-0.7644500000000001,-1.3760099999999937,4.069560416
52,2011,21.534566666666667,70.76222,0.7738499999999995,1.3929299999999927,4.187104495
53,2012,21.63825,70.94885,0.10368333333333268,0.18662999999999386,4.232175308
54,2013,21.13035,70.03462999999999,-0.5078999999999994,-0.9142200000000003,4.126499656
55,2014,21.345200000000002,70.42136,0.21485000000000198,0.38673000000001423,4.000652984
56,2015,21.5153,70.72754,0.17009999999999792,0.3061799999999977,3.963191128
57,2016,21.7131,71.08358000000001,0.19780000000000086,0.35604000000000724,3.943827403
